Accession	PC1	PC2	Family	Species	cluster
JQ340389	-292.3908677417169	4.192865686164524	Demerecviridae	Vipunavirus pVp1	5
JQ408219	792.9989862712121	-32.666907801168506	Inoviridae	Restivirus RSS1	4
JQ764987	830.6941336002612	-29.39510246552889	Microviridae	Sinsheimervirus phiX174	4
JQ797329	-391.3879400340432	166.7425222962657	Herelleviridae	Pecentumvirus AG20	9
JX195166	-304.7147810251156	30.71456507853017	Demerecviridae	Myunavirus My1	5
JX297445	312.979674892624	314.01196388393464	Sarkviridae	Jerseyvirus SB3	2
JX846613	-329.1381287983345	141.57187915782862	Herelleviridae	Silviavirus remus	5
JX878496	-662.090253012291	20.49398322204405	Ackermannviridae	Miltonvirus MAM1	1
JX880034	275.16434736874635	-85.7507386289154	Schitoviridae	Gamaleyavirus IME11	6
KC107834	472.5412427515337	-295.5100633501128	Autonotataviridae	Cronosvirus GAP227	0
KC139520	310.4547522344528	-80.80697989064585	Schitoviridae	Ithacavirus SP076	6
KC460990	315.3413428090414	292.39020492508644	Sarkviridae	Seretavirus eta	2
KC462197	403.005285777652	244.78463245675644	Peduoviridae	Nampongvirus ST79	8
KC579452	245.62076402103455	424.8668282156015	Drexlerviridae	Rogunavirus KP26	10
KC677662	258.9777985208832	259.3805071637528	Casjensviridae	Chivirus iEPS5	2
KC801932	-898.46212259809	-136.12911856463128	Straboviridae	Pseudotevenvirus lw1	3
KC862296	-145.37069376563977	104.9516625189004	Vandenendeviridae	Nankokuvirus PAKP3	5
KF192075	278.4057279502299	-93.95842604952362	Schitoviridae	Gamaleyavirus APEC5	6
KF319020	484.724465481607	-284.9234698851393	Autoscriptoviridae	Novosibovirus PM16	0
KF562340	297.7656010702058	-92.21925867983754	Schitoviridae	Gamaleyavirus APEC7	6
KF623294	-192.67273154075383	59.05610327864062	Chimalliviridae	Iapetusvirus EaH1	5
KJ019032	-446.3309146729198	167.65013655774595	Kyanoviridae	Lowelvirus tuscon4d	9
KJ019038	-381.70294630681474	187.77258588456095	Kyanoviridae	Acionnavirus monteraybay	9
KJ019046	-437.0871030771538	169.83524671141393	Kyanoviridae	Lowelvirus tuscon4d	9
KJ019052	-587.4248466804823	106.2268862860156	Kyanoviridae	Atlauavirus acg2014f	1
KJ019071	-411.3719238086621	171.89625758842337	Kyanoviridae	Macariavirus tuscon14g	9
KJ019086	-605.5503740610349	134.0439813057883	Kyanoviridae	Atlauavirus tusconc8	1
KJ019089	-472.7117340996451	178.08201427381854	Kyanoviridae	Potamoivirus tusconj	9
KJ019101	-593.3445275116355	128.8079843660865	Kyanoviridae	Atlauavirus tusconc8	1
KJ019113	-428.84031359911614	167.24647510086814	Kyanoviridae	Lowelvirus tuscon4d	9
KJ019119	-416.0464430955876	172.12186723663447	Kyanoviridae	Lowelvirus tuscon4d	9
KJ019129	-451.1025811507848	174.54512012046942	Kyanoviridae	Lowelvirus tuscon4d	9
KJ190157	-319.5690240458018	19.368089146381266	Demerecviridae	Tequintavirus FFH1	5
KJ507099	439.6620898073807	-389.4985790692998	Autotranscriptaviridae	Ghunavirus PSA2	0
KJ716335	-592.6479246336187	51.00766158193176	Ackermannviridae	Limestonevirus RC2014	1
KJ888149	-515.6432319323551	173.79719863720297	Herelleviridae	Kayvirus MCE2014	9
KM359505	-514.6109627346502	141.78372818065802	Kyanoviridae	Haifavirus tim68	9
KM589516	843.3124855759431	-53.94456382583782	Microviridae	Parabacteroides phage YZ-2015b	4
KM606994	-1059.596338674078	-266.7956415485992	Straboviridae	Tequatrovirus RB3	3
KM607002	-1042.358136123859	-248.65772459648065	Straboviridae	Tequatrovirus T4	3
KP010413	-240.0535299279884	76.5272986663733	Andersonviridae	Felixounavirus SP116	5
KP280062	306.45008223093964	-107.68682933193016	Schitoviridae	Pacinivirus phi1	6
KP280063	-310.3094424484693	2.046139512681336	Demerecviridae	Jesfedecavirus phi3	5
KP313531	536.5754188555568	-401.2597959063002	Autotranscriptaviridae	Teetrevirus CFP1	0
KP671755	-997.9380450863556	-73.03245047923797	Straboviridae	Schizotequatrovirus valkk3	3
KP797973	-669.8820227104425	25.360377461577173	Ackermannviridae	Kuttervirus Det7	1
KR054033	66.83539677811541	259.88197380959934	Lindbergviridae	Pbunavirus DL68	7
KT372698	115.64828389566878	250.4057653057611	Lindbergviridae	Pbunavirus PB1	7
KT990215	414.9525645182391	-351.535792219143	Autotranscriptaviridae	Kayfunavirus GA2A	0
KU130129	-239.6312357621164	34.46139479043866	Vandenendeviridae	Flaumdravirus KIL2	5
KU310944	515.7079164747076	-342.7609415744228	Autoscriptoviridae	Kantovirus C171	0
KU686212	-543.9258710816803	129.13942898618788	Kyanoviridae	Mazuvirus scam7	9
KU737352	-586.3215448659229	142.74465395786436	Herelleviridae	Bacillus phage Nemo	1
KX015770	105.64232045705104	432.1062497871354	Drexlerviridae	Tlsvirus phSE2	10
KX147096	-602.1334691409238	61.96683308358635	Ackermannviridae	Taipeivirus IME250	1
KX258185	-995.9488043046892	-210.5668072082142	Straboviridae	Jiaodavirus kpv477	3
KX266300	832.1244764143314	-33.30621118459178	Microviridae	Gequatrovirus G4	4
KX266310	838.167183543899	-27.78304085918197	Microviridae	Gequatrovirus G4	4
KX266316	823.7460013642901	-44.89625091642966	Microviridae	Gequatrovirus G4	4
KX266317	829.7102482800335	-36.28734708179627	Microviridae	Gequatrovirus G4	4
KX266328	834.8105790265652	-29.51187331475844	Microviridae	Gequatrovirus G4	4
KX266344	832.5712292942528	-31.404488084938443	Microviridae	Gequatrovirus G4	4
KX266356	835.3383204246541	-35.38230598583809	Microviridae	Gequatrovirus G4	4
KX266365	829.4711362010769	-32.15693370661854	Microviridae	Gequatrovirus G4	4
KX266367	831.1116089416198	-31.694577016256737	Microviridae	Gequatrovirus G4	4
KX266399	839.5865048673006	-30.738849254397017	Microviridae	Gequatrovirus G4	4
KX266401	831.8778988838665	-29.398008103125758	Microviridae	Gequatrovirus G4	4
KX266402	831.351645258367	-32.409872341834195	Microviridae	Gequatrovirus G4	4
KX266416	828.3953271565013	-38.39191055591064	Microviridae	Gequatrovirus G4	4
KX266417	826.6130880886187	-23.201295606174316	Microviridae	Gequatrovirus G4	4
KX266430	829.5600784266142	-33.95751337384823	Microviridae	Gequatrovirus G4	4
KX266433	832.710845105926	-31.006115270139095	Microviridae	Gequatrovirus G4	4
KX266441	829.8534553698394	-37.68442025856319	Microviridae	Gequatrovirus G4	4
KX266442	830.4037460010325	-27.863909544602897	Microviridae	Gequatrovirus G4	4
KX266446	836.2594215438246	-30.99783007298246	Microviridae	Gequatrovirus G4	4
KX266452	826.3306572195263	-23.16803494441953	Microviridae	Gequatrovirus G4	4
KX266456	821.6691719047383	-20.24166372942735	Microviridae	Gequatrovirus G4	4
KX266458	825.0465089153342	-33.60695788162942	Microviridae	Gequatrovirus G4	4
KX266462	829.053817469108	-23.4962627757441	Microviridae	Gequatrovirus G4	4
KX266480	833.7970074490333	-36.12381226007791	Microviridae	Gequatrovirus G4	4
KX266512	825.3312499321444	-42.16948287056138	Microviridae	Gequatrovirus G4	4
KX266514	825.5005502314796	-30.03008403332073	Microviridae	Gequatrovirus G4	4
KX266529	825.4520664230533	-33.81781160811119	Microviridae	Gequatrovirus G4	4
KX266542	834.2560926760582	-34.22271390550338	Microviridae	Gequatrovirus G4	4
KX266548	830.1787239183452	-29.083660125270228	Microviridae	Gequatrovirus G4	4
KX266550	824.3170672088702	-14.467874258574696	Microviridae	Gequatrovirus G4	4
KX266556	837.1223059447263	-39.42547186171206	Microviridae	Gequatrovirus G4	4
KX266561	834.8279796081686	-37.63153660595011	Microviridae	Gequatrovirus G4	4
KX266563	843.4448159291644	-29.91963811038493	Microviridae	Gequatrovirus G4	4
KX266576	840.7935876556492	-44.690154107340085	Microviridae	Gequatrovirus G4	4
KX266600	844.7260444217443	-37.52843254942377	Microviridae	Gequatrovirus G4	4
KX349237	-426.3724670204562	176.5398053123611	Kyanoviridae	Nerrivikvirus srim2	9
KX349238	-405.2507316647723	171.73470879910326	Kyanoviridae	Nerrivikvirus srim2	9
KX349242	-418.7865869226485	183.45145152539516	Kyanoviridae	Nerrivikvirus srim2	9
KX349245	-405.275645450444	180.7526826395141	Kyanoviridae	Nerrivikvirus srim2	9
KX349250	-415.7671639200287	172.81755422836264	Kyanoviridae	Nerrivikvirus srim2	9
KX349251	-403.6669021823882	178.93063743509114	Kyanoviridae	Nerrivikvirus srim2	9
KX349254	-402.8930214203933	177.15623689558194	Kyanoviridae	Nerrivikvirus srim2	9
KX349273	-415.30858707493553	177.10232691098602	Kyanoviridae	Nerrivikvirus srim2	9
KX349281	-384.5699541424326	178.3310606146982	Kyanoviridae	Nerrivikvirus srim2	9
KX349290	-468.49608148166885	170.11403309119186	Kyanoviridae	Neptunevirus srim18	9
KX349292	-454.84852776985485	113.19235433910237	Kyanoviridae	Vellamovirus rhodeisland44	9
KX349315	-420.3135958047928	175.01449531165454	Kyanoviridae	Brizovirus syn33	9
KX449362	536.5836513803299	-393.136887097436	Autotranscriptaviridae	Unosvirus UNOSLW1	0
KX532239	-440.8701362828047	148.04830761782156	Herelleviridae	Staphylococcus phage StAP1	9
KX765862	269.64946240864333	290.4301240324954	Casjensviridae	Chivirus ST101	2
KX889068	200.16753998961255	-85.7788582109957	Schitoviridae	Galateavirus PVA5	6
KX961629	-585.4842093410958	146.7805724959745	Herelleviridae	Bacillus phage BJ4	1
KY316062	469.6284019478305	-260.0817803106996	Autonotataviridae	Sukuvirus RSPII1	0
KY705257	435.0185444097112	253.492795577034	Aliceevansviridae	Moineauvirus P3684	8
KY705263	455.1437029456663	225.33868139329067	Aliceevansviridae	Moineauvirus P7133	8
KY705278	445.1049472168427	245.2849309400681	Aliceevansviridae	Brussowvirus P7952	8
KY705282	439.8911219185354	253.65211728298596	Aliceevansviridae	Streptococcus phage P8921	8
KY779848	-448.3752606868143	193.4539943301473	Herelleviridae	Staphylococcus phage qdsa001	9
KY883644	449.99098594463976	-335.2867215704736	Autotranscriptaviridae	Chatterjeevirus ICP3	0
KY883652	435.5859542690746	-347.6455968533006	Autotranscriptaviridae	Chatterjeevirus ICP3	0
KY963424	-389.7819199345365	-15.065914507988891	Demerecviridae	Tequintavirus SSP1	5
LC066596	789.5443934584116	-8.151838500447866	Inoviridae	Restivirus RSS1	4
LC105988	57.97600319899357	305.7748785033625	Lindbergviridae	Pseudomonas phage KPP22M1	7
LC105989	74.99315210041891	299.62639921604614	Lindbergviridae	Pseudomonas phage KPP22M2	7
LC371242	-996.4530094544848	-196.52039262567772	Straboviridae	Kagamiyamavirus ecs1	3
LC472883	67.869010071699	289.31385639983534	Lindbergviridae	Pbunavirus LS1	7
LC574321	-530.2421837717729	146.17147555636924	Herelleviridae	Kayvirus P108	9
LC592711	-287.87732610827175	40.21742905481567	Chimalliviridae	Burkholderia phage FLC6	5
LC739531	-267.9394124469925	49.77544826714311	Andersonviridae	Escherichia phage phiWec174	5
LC768499	501.6055391689104	-391.19694555957005	Autotranscriptaviridae	Teetrevirus Kp31	0
LC779549	483.6916164635579	-281.61896442898086	Autonotataviridae	Cronosvirus GY3	0
LC786485	835.4492791103478	-36.91347086895123	Microviridae	Sinsheimervirus phiX174	4
LN610574	428.15774546515854	-327.7635239722522	Autoscriptoviridae	Phikmvvirus Ab05	0
LT961844	492.97919132913535	-380.6723337248313	Autotranscriptaviridae	Helsettvirus fPS9	0
MF033347	444.8070257048184	-341.81252472634105	Autoscriptoviridae	Friunavirus B1	0
MF036690	-969.9978189822436	-212.83812735076955	Straboviridae	Winklervirus chi14	3
MF044457	-1002.7991518595558	-227.4740899025812	Straboviridae	Mosigvirus JS09	3
MF093736	114.70770329516084	458.0863817694427	Drexlerviridae	Tunavirus ISF002	10
MF158042	248.5522805330586	409.6200754745941	Drexlerviridae	Wilsonroadvirus Sd1	10
MF276773	421.1723300610959	205.401069090034	Peduoviridae	Eganvirus EtG	8
MF288919	-600.8656359274241	129.66446419840298	Herelleviridae	Bacillus phage AaronPhadgers	1
MF375456	373.792514598053	-236.96238703643365	Autonotataviridae	Pradovirus pagan	0
MF402939	-330.18454987832865	-2.6393938843179257	Demerecviridae	Tequintavirus OSYSP	5
MF490240	38.5758910870004	300.809186116541	Lindbergviridae	Pbunavirus E217	7
MF580762	459.6483824300399	259.6559541149917	Aliceevansviridae	Streptococcus phage 9B4	8
MF580768	459.882889639254	235.63410049904607	Aliceevansviridae	Streptococcus phage C0	8
MF580773	496.8282812872842	217.50540621048225	Aliceevansviridae	Moineauvirus STP1	8
MF612071	430.036323318988	-265.4030564252389	Autoscriptoviridae	Drulisvirus altogao	0
MF630922	341.39849711245097	291.2732424868684	Drexlerviridae	Escherichia phage IMM-001	2
MF893341	519.389317533715	-347.3722963391333	Autotranscriptaviridae	Stompelvirus RPSC1	0
MF979564	-292.36819011917873	-10.586832006106334	Demerecviridae	Hongcheonvirus DUPPV	5
MG018930	-317.5213529018247	69.70048077634814	Vandenendeviridae	Ventosusvirus ventosus	5
MG099933	161.42724379046126	290.40456620175564	Sarkviridae	Kagunavirus golestan	7
MG250483	-963.7898915926776	-94.7866121386072	Straboviridae	Cinqassovirus ah1	3
MG250484	-1030.3625250188315	-220.1452768015101	Straboviridae	Moonvirus cf1	3
MG252615	336.844570468897	287.5203974797656	Sarkviridae	Escherichia phage vB_EcoS_HSE2	2
MG575419	407.91682163719975	-284.20477418075814	Autoscriptoviridae	Novosibovirus RS8pmA	0
MG646670	-258.87876411482944	57.40399485678165	Andersonviridae	Felixounavirus BPS17W1	5
MG652450	508.5381437715289	-284.689599562507	Autonotataviridae	Higashivirus RsoP1IDN	0
MG655268	-436.32107921292095	43.67623487588519	Chimalliviridae	Agricanvirus desertfox	9
MG720308	-85.48577889992043	26.33794859502225	Chimalliviridae	Aphroditevirus aphrodite1	5
MG748547	-669.5495072516154	57.57120439325425	Ackermannviridae	Kuttervirus EP75	1
MG775258	469.1421549108589	-373.3621128996158	Autotranscriptaviridae	Hennigervirus henninger	0
MG835568	541.0687205940155	-400.32695898322174	Autotranscriptaviridae	Przondovirus SHKp152410	0
MH042230	463.4033131990752	-352.13543748972154	Autoscriptoviridae	Friunavirus D2	0
MH051335	-35.503354238756856	281.5461389769771	Lindbergviridae	Wifcevirus Ro157lw	7
MH107246	-240.3924011916072	172.87288038353947	Kyanoviridae	Shandvirus sb64	5
MH107769	-570.511204644556	164.56958744923816	Herelleviridae	Staphylococcus phage vB_SauM_0414_108	9
MH172261	483.41539539593145	-371.68955600098	Autotranscriptaviridae	Przondovirus KP32i192	0
MH321490	-460.8008352829343	121.33739784886896	Herelleviridae	Staphylococcus phage Quidividi	9
MH370358	276.1187030930739	311.6766559891046	Sarkviridae	Jerseyvirus S100	2
MH370361	272.0012856268693	287.0911072006494	Sarkviridae	Salmonella phage S103	2
MH370366	-323.25736021516286	16.16355078701845	Demerecviridae	Epseptimavirus S113	5
MH370368	-641.8638195473627	72.38764663613034	Ackermannviridae	Salmonella phage S115	1
MH370369	-345.1025074960721	7.093761742644205	Demerecviridae	Epseptimavirus S116	5
MH370372	269.2752130768979	306.7546665633181	Sarkviridae	Salmonella phage S119	2
MH370384	253.4761538866287	304.9253751086161	Sarkviridae	Salmonella phage S138	2
MH370478	-192.77140449926677	59.08410831069534	Vandenendeviridae	Pseudomonas phage SRT6	5
MH375595	418.370040101956	237.46249357007443	Aliceevansviridae	Streptococcus phage 107	8
MH375596	385.3910810182647	242.11828474573025	Aliceevansviridae	Streptococcus phage 115	8
MH382198	502.8880377835928	-397.0901936240088	Autotranscriptaviridae	Teseptimavirus tv3A8767	0
MH487649	-558.8052038946271	176.0399648169948	Herelleviridae	Bacillus phage BC01	9
MH553563	-1069.8948051242774	-271.85336945128563	Straboviridae	Tequatrovirus RB18	3
MH587638	468.8856902163391	-389.2381820521035	Autotranscriptaviridae	Przondovirus IME321	0
MH688453	136.42837215658096	442.3773024978642	Drexlerviridae	Webervirus TSK1	10
MH763831	408.9642913799694	-335.51132065381745	Autoscriptoviridae	Friunavirus Aci08	0
MH807810	490.5350166390974	-384.0445643543203	Autotranscriptaviridae	Aarhusvirus dagda	0
MH807813	474.032608801371	-364.1533166268568	Autotranscriptaviridae	Aarhusvirus katbat	0
MH809529	-323.0133467206749	107.69218522305265	Herelleviridae	Harbinvirus iacchus	5
MH830339	-275.0368937583546	34.3850768453451	Demerecviridae	Novosibvirus stubb	5
MH884511	-443.4618896447976	41.96776841429528	Herelleviridae	Exiguobacterium phage vB_EalM-132	9
MH937459	447.6219213170434	265.35433575762534	Aliceevansviridae	Moineauvirus CHPC595	8
MH937461	464.0338728368108	247.015111647996	Aliceevansviridae	Moineauvirus CHPC642	8
MH937495	454.1058872029676	241.65032433370928	Aliceevansviridae	Moineauvirus CHPC1045	8
MH940212	-682.2956997505494	52.57726385075463	Ackermannviridae	Salmonella phage PS5	1
MH973663	492.7700676954189	254.73133751839592	Aliceevansviridae	Vansinderenvirus SW24	8
MH992122	-1046.6881596568874	-254.14536017800629	Straboviridae	Mosigvirus utam	3
MK095200	503.8533610155516	-298.152772736157	Autoscriptoviridae	Phimunavirus Clickz	0
MK095205	501.7650893339589	-282.9359541391532	Autoscriptoviridae	Phimunavirus nobby	0
MK170446	276.63681438620097	344.7052019161014	Drexlerviridae	Webervirus wv13	2
MK215646	-626.601994275286	131.92520996356043	Herelleviridae	Bacillus virus vB_BthM-Goe5	1
MK250904	-544.868461819409	148.99804346545173	Herelleviridae	Kayvirus P108	9
MK257721	420.71245100179885	-331.77232860968127	Autoscriptoviridae	Friunavirus APK2	0
MK278859	450.2069954326735	-337.76637974019184	Autoscriptoviridae	Friunavirus AbKT21III	0
MK278860	-884.9413447669667	-120.62516970377388	Straboviridae	Hadassahvirus azbtza1	3
MK290739	523.518256190793	-365.4796518573405	Autotranscriptaviridae	Maklayavirus Q19	0
MK295203	-809.6293505725224	-133.72596953515256	Straboviridae	Dhakavirus ecom005	3
MK301608	101.67207060581586	-60.64983698453708	Schitoviridae	Electravirus Sbp1	6
MK327936	-1064.8413287852366	-253.57554551180644	Straboviridae	Escherichia phage vB_EcoM_G2540	3
MK327939	-1084.4663766049491	-272.3507135852181	Straboviridae	Tequatrovirus gee4498	3
MK358448	-168.74088482085926	17.126713285628142	Chimalliviridae	Aphroditevirus USC1	5
MK373787	-1045.1312532813515	-274.32064856088	Straboviridae	Tequatrovirus geeight	3
MK373793	236.7520323816921	401.6325231524901	Drexlerviridae	Inhoffenstrassevirus MM01	10
MK393882	-304.55935961694445	12.072317303440885	Demerecviridae	Epseptimavirus ev329	5
MK416011	373.549213260015	262.2003623342689	Peduoviridae	Gegevirus ST437OXA245phi41	8
MK417516	-554.5778783167993	163.40172049197932	Herelleviridae	Kayvirus kay	9
MK433581	389.19447648602863	250.37054358872032	Peduoviridae	Gegevirus ST437OXA245phi41	8
MK448747	439.0014987710615	191.6040858760348	Aliceevansviridae	Streptococcus phage Javan385	8
MK448885	487.302725216359	208.41115557616985	Aliceevansviridae	Streptococcus phage Javan252	8
MK524178	-1048.7754148965273	-269.9000596249068	Straboviridae	Escherichia phage PHB12	3
MK639187	-1021.1640065867736	-254.1531691248052	Straboviridae	Mosigvirus JS09	3
MK693030	-464.61369463708456	169.7845744951512	Herelleviridae	Enterococcus phage vB_EfaM_Ef2.1	9
MK770412	-126.8703415016937	7.518686494899072	Andersonviridae	Kolesnikvirus SE5	5
MK886800	-1022.2222854741764	-268.9622075991342	Straboviridae	Tequatrovirus ecnp1	3
MK907243	300.547728840397	436.53659230115966	Drexlerviridae	Veterinaerplatzvirus vv12210I	10
MK907260	280.47554184397404	432.3044723093941	Drexlerviridae	Veterinaerplatzvirus vv12210I	10
MK931439	268.3844932857721	287.6248341450613	Sarkviridae	Escherichia phage Sciku	2
MK962626	322.61355669093814	-59.781326253318014	Schitoviridae	Dongdastvirus Axy04	6
MK972699	-664.8460715961182	45.61101237666833	Ackermannviridae	Kuttervirus SS9	1
MK972717	-239.95820657951072	18.466612289997755	Demerecviridae	Epseptimavirus S116	5
MK977694	-1066.9263774157755	-286.64859464235457	Straboviridae	Tequatrovirus sf23	3
MN019128	183.6608230150507	402.052660709523	Drexlerviridae	Henuseptimavirus henu7	10
MN045230	-654.1699441270695	22.6089793768287	Ackermannviridae	Taipeivirus magnus	1
MN066127	-678.7029486172516	43.3780189314258	Ackermannviridae	Salmonella phage Matapan	1
MN106244	187.94630429885703	212.41695677305708	Casjensviridae	Yonseivirus soft	2
MN131141	64.37064136485537	271.27898830001243	Lindbergviridae	Pbunavirus PA8P1	7
MN149903	467.9119826306385	-376.3111954352843	Autotranscriptaviridae	Przondovirus pv117	0
MN153503	-647.0089548057849	136.64017712370926	Herelleviridae	Bacillus phage Chotacabras	1
MN158206	206.78376348689108	436.0088091382946	Drexlerviridae	Escherichia phage BEK2	10
MN158212	280.27380289191524	431.6875679238656	Drexlerviridae	Escherichia phage BEK1-1	10
MN200778	801.7947517529594	-59.82181216757245	Inoviridae	Vasivirus VAI	4
MN266305	825.9048706962587	-31.34635308251473	Microviridae	Shigella phage SGF3	4
MN336266	316.9357395123286	340.19778199007965	Sarkviridae	Salmonella phage PIZ SAE-01E2	2
MN432485	105.54269247437924	432.5050118904678	Drexlerviridae	Hanrivervirus SFP17	10
MN445182	-314.12938312852384	29.55668908327695	Demerecviridae	Tequintavirus SA001	5
MN508623	-914.6673251939434	-153.67805570319865	Straboviridae	Enterobacter phage EC-F1	3
MN692672	368.0540026687352	-311.7738915050576	Autoscriptoviridae	Phikmvvirus 15pyo	0
MN709127	-920.128264191424	-151.3077294392637	Straboviridae	Krischvirus gec3s	3
MN732883	-871.8185972163832	-126.43052115575028	Straboviridae	Lazarusvirus kimel	3
MN788369	-633.1077696623785	18.10673788699404	Ackermannviridae	Limestonevirus limestone	1
MN794232	-978.7163448912006	-82.22308221087498	Straboviridae	Schizotequatrovirus KVP40	3
MN844877	485.7833069339106	-345.3378561930899	Autoscriptoviridae	Natansvirus SnaPR1	0
MN850599	838.7040923160455	-34.69334147208276	Microviridae	Escherichia phage lillemer	4
MN850619	-210.1066769216784	52.02922007454151	Andersonviridae	Felixounavirus finno	5
MN850625	448.5349604820015	-227.0385144960909	Autoscriptoviridae	Bonnellvirus smaasur	0
MN890137	840.345517719896	-42.96134346996719	Microviridae	Liberibacter phage pCLasGDCZ2	4
