	Accession	PC1	PC2	Family	Species
25	MZ501069.1	-6.598922863928863	52.468165952750724	Drexlerviridae	Escherichia phage FritzSarasin
26	MZ501071.1	61.09164956409225	21.24087010639612		Escherichia phage GottfriedDienst
27	MZ501072.1	-7.197938259477695	3.308643221143516	Demerecviridae	Escherichia phage GreteKellenberger
28	MZ501073.1	19.07481515263916	15.822783246620656		Escherichia phage HeinrichReichert
29	MZ501074.1	1.6095079480437278	-28.83790778324815	Demerecviridae	Escherichia phage HildyBeyeler
30	MZ501075.1	5.762225584084575	-35.51594609865068	Demerecviridae	Escherichia phage IrisVonRoten
31	MZ501076.1	-7.748078774911619	-4.875310113027922	Demerecviridae	Escherichia phage IrmaTschudi
32	MZ501077.1	1.6664086466803951	24.55060578583092	Drexlerviridae	Escherichia phage IsaakIselin
33	MZ501078.1	94.87161558024636	-80.73782112335485	Autotranscriptaviridae	Escherichia phage JacobBurckhardt
34	MZ501079.1	-1.0345245850571985	66.9414796642969	Drexlerviridae	Escherichia phage JakobBernoulli
35	MZ501080.1	-36.000962033114405	58.48114730035121	Drexlerviridae	Veterinaerplatzvirus Jeanpiccard
36	MZ501081.1	136.97936554677372	-34.46100817533133	Autotranscriptaviridae	Escherichia phage JeanTinguely
37	MZ501082.1	10.292481641559334	27.946989295228736		Escherichia phage JeffSchatz
38	MZ501083.1	11.89595797258309	-24.150522872607375		Escherichia phage JohannBauhin
39	MZ501084.1	-109.83035489676371	-13.15315780620174		Escherichia phage JohannJBalmer
40	MZ501085.1	5.919124276035973	85.2364036330377	Drexlerviridae	Escherichia phage JohannLBurckhardt
41	MZ501086.1	-140.76286177032637	-14.120293782692928	Andersonviridae	Escherichia phage JohannRWettstein
42	MZ501087.1	-25.751967650677983	21.340343550478263	Drexlerviridae	Escherichia phage JulesPiccard
43	MZ501089.1	46.68115529934968	-44.84197171147164	Straboviridae	Escherichia phage KarlGJung
44	MZ501090.1	-14.291827366016946	73.85629620723451	Drexlerviridae	Escherichia phage KarlJaspers
45	MZ501091.1	7.550014357915245	2.2077429851445594		Escherichia phage KurtStettler
46	MZ501092.1	-61.59305687063838	61.98275470233452	Drexlerviridae	Escherichia phage LeonhardEuler
47	MZ501093.1	69.73655426286368	-17.204553316124287		Escherichia phage MaxBurger
48	MZ501094.1	12.809456436160104	8.79798251424953		Escherichia phage MaxTheCat
49	MZ501096.1	3.5537939965197722	-9.865515232134111	Straboviridae	Escherichia phage Paracelsus
50	MZ501097.1	90.59110391829685	19.290215404060863		Escherichia phage PaulFeyerabend
51	MZ501098.1	2.8203203801773213	-1.6190752098261907	Straboviridae	Escherichia phage PaulHMueller
52	MZ501099.1	-32.653379704997946	46.88505537036151	Drexlerviridae	Changchunvirus paulsarasin
53	MZ501100.1	-127.65776302897447	-4.169481195593047		Escherichia phage PaulScherrer
54	MZ501101.1	42.65237766335352	2.7503733478718395	Drexlerviridae	Escherichia phage PeterMerian
55	MZ501102.1	77.29291092099706	3.319329107221659		Escherichia phage RudolfGeigy
56	MZ501103.1	-33.11846700358802	-6.8270727712826655	Demerecviridae	Escherichia phage SelmaRatti
57	MZ501104.1	36.51107150988909	6.249431587253515		Escherichia phage SeppeHuegi
58	MZ501105.1	-25.277332135381045	-28.68850479247652	Demerecviridae	Escherichia phage SuperGirl
59	MZ501106.1	46.21442186477438	-5.175667515413572	Straboviridae	Escherichia phage TadeuszReichstein
60	MZ501108.1	-27.646455797959618	-37.23727181635876	Demerecviridae	Escherichia phage TrudiGerster
61	MZ501109.1	-14.724221760642735	-42.93220282583622	Demerecviridae	Escherichia phage TrudiRoth
62	MZ501110.1	-21.148524586018937	-36.269939262076164		Escherichia phage VogelGryff
63	MZ501111.1	-4.239718984064069	15.264777955238873		Escherichia phage WalterGehring
64	MZ501112.1	4.001279461987281	-48.084116595002584		Escherichia phage WildeMaa
65	MZ501113.1	-0.23336046765004426	10.9093641790102	Straboviridae	Escherichia phage WilhelmHis
66	NC_000866.4	-64.38825179763697	-13.330151947898427	Straboviridae	Escherichia phage T4
67	NC_001416.1	-94.09878199608275	-12.524932908586603		Escherichia phage Lambda
68	NC_001604.1	14.079154067306462	-35.84441452364629	Autotranscriptaviridae	Escherichia phage T7
69	NC_001895.1	-37.57719726968389	-33.79864706411519	Peduoviridae	Bacteriophage P2
70	NC_005856.1	-124.8465444199804	-25.839644141889572		Escherichia phage P1
71	NC_005859.1	-49.56783677294706	-37.867206191284225	Demerecviridae	Escherichia phage T5
72	NC_008720.1	-12.880108961925231	-35.9450709543362	Schitoviridae	Escherichia phage N4
73	NC_073057.1	53.480401570172745	15.537255102416385		Escherichia phage KarlBarth
74	NC_073062.1	77.48994142148129	23.222946316517532		Escherichia phage TheodorHerzl
75	NC_073066.1	123.34653159919097	-26.3019685387693		Escherichia phage GeorgBuechner
76	NC_073067.1	38.53499993573419	-32.111573856179035		Escherichia phage PaulFeyerabend
77	NC_073089.1	96.56003729772706	41.10157018426655		Escherichia phage Oekolampad
